Fwd_IAT_Max,Bwd_IAT_Max,PSH_Flag_Cnt,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Active_Max,Idle_Max,Label,Cat
9,0,0,36,32,32,7,224,1,32,0,11,Anomaly,Mirai
5,0,0,42.66666667,32,32,2,64,1,32,0,25,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,81,Anomaly,MITM ARP Spoofing
0,0,0,0,0,0,1,0,1,0,0,74,Anomaly,Mirai
76,0,0,1480,790,1430,2,1580,1,1430,0,142,Anomaly,Mirai
0,120,0,1398,0,935.3333333,0,0,3,2806,0,120,Normal,Normal
0,421,0,0,0,0,0,0,2,0,0,421,Normal,Normal
0,0,0,0,0,0,1,0,1,0,0,47,Anomaly,Mirai
0,129,0,0,0,0,0,0,2,0,0,129,Anomaly,Mirai
150,0,0,33.6,32,32,19,608,1,32,0,150,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,237,Anomaly,Mirai
75,0,0,1787.5,1430,1430,3,4290,1,1430,0,134,Anomaly,Mirai
0,84,0,2172,0,1448,0,0,2,2896,0,84,Anomaly,Mirai
11,0,0,42.66666667,32,32,2,64,1,32,0,11,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,16,Anomaly,Mirai
132,0,0,42.66666667,32,32,2,64,1,32,0,132,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,13,Anomaly,Mirai
0,117,0,1403,0,709,0,0,2,1418,0,117,Anomaly,Mirai
0,5490,0,0,0,0,0,0,2,0,0,5490,Anomaly,DoS
71,0,0,1930.666667,1448,1448,2,2896,1,1448,0,71,Anomaly,Mirai
0,0,0,1403,30,1388,1,30,1,1388,0,77,Anomaly,Scan
22,0,0,33.03225806,32,32,30,960,1,32,2,22,Anomaly,Mirai
0,113,0,2082,0,1388,0,0,2,2776,0,113,Anomaly,Mirai
0,0,0,30,20,20,1,20,1,20,0,78,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,114,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,139,Anomaly,Mirai
280,0,0,33.68421053,32,32,18,576,1,32,7,280,Anomaly,Mirai
72,0,0,25,20,20,3,60,1,20,0,76,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,12,Anomaly,Mirai
11,0,0,37.33333333,32,32,5,160,1,32,0,11,Anomaly,Mirai
0,0,0,2082,1388,1388,1,1388,1,1388,0,493,Normal,Normal
6,0,0,42.66666667,32,32,2,64,1,32,0,12,Anomaly,Mirai
0,120,1,724,0,709,0,0,2,1418,0,120,Anomaly,Mirai
0,123,0,0,0,0,0,0,4,0,0,123,Anomaly,Mirai
2,0,0,33,32,32,31,992,1,32,4,2,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,9,Anomaly,Mirai
8,0,0,36,32,32,7,224,1,32,0,8,Anomaly,Mirai
71,0,0,24,20,20,4,80,1,20,0,73,Anomaly,Mirai
0,10288,0,0,0,0,1,0,2,0,966,9322,Anomaly,DoS
0,85,0,2082,0,1388,0,0,2,2776,0,85,Anomaly,Scan
188,0,0,32.94117647,32,32,33,1056,1,32,1,188,Anomaly,Mirai
73,0,0,0,0,0,2,0,1,0,0,75,Anomaly,Mirai
0,7326,0,0,0,0,0,0,2,0,0,7326,Anomaly,DoS
2,0,0,40,32,32,3,96,1,32,0,3,Anomaly,Mirai
0,72,0,46.4,0,38.4,0,0,5,192,0,72,Anomaly,Mirai
0,126,0,1930.666667,0,1448,0,0,3,4344,0,126,Anomaly,Mirai
0,0,1,554.5,251,429,1,251,1,429,0,80,Anomaly,Scan
0,0,0,52.5,35,35,1,35,1,35,0,125,Anomaly,MITM ARP Spoofing
0,0,0,2082,1388,1388,1,1388,1,1388,0,137,Anomaly,Scan
0,0,0,2145,1430,1430,1,1430,1,1430,0,254,Anomaly,Mirai
3,0,0,32.91428571,32,32,34,1088,1,32,3,3,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,155,Anomaly,Mirai
0,124,0,2082,0,1388,0,0,2,2776,0,124,Anomaly,MITM ARP Spoofing
0,73,0,2082,0,1388,0,0,2,2776,0,73,Anomaly,Mirai
0,380,1,1278,0,639,0,0,2,1278,0,380,Normal,Normal
0,0,0,2172,1448,1448,1,1448,1,1448,0,148,Anomaly,Mirai
5,0,0,38.4,32,32,4,128,1,32,1,6,Anomaly,Mirai
13,0,0,38.4,32,32,4,128,1,32,0,13,Anomaly,Mirai
0,0,0,1629,398,1430,1,398,1,1430,0,76,Anomaly,Mirai
72,0,0,26.66666667,20,20,2,40,1,20,0,75,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,70,Anomaly,Scan
0,0,0,2172,1448,1448,1,1448,1,1448,0,71,Anomaly,Mirai
0,122,0,1930.666667,0,1448,0,0,3,4344,0,122,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,172,Anomaly,Mirai
132,0,0,1684,1096,1430,2,2192,1,1430,0,132,Anomaly,Mirai
0,0,0,258.5,517,0,1,517,1,0,0,120,Anomaly,Mirai
74,0,0,35,20,40,3,60,1,40,0,76,Anomaly,Mirai
0,4199,0,0,0,0,0,0,2,0,0,4199,Anomaly,DoS
0,0,0,2190,1460,1460,1,1460,1,1460,0,121,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,258,Anomaly,Mirai
31,0,0,40,32,32,3,96,1,32,0,31,Anomaly,Mirai
0,88,0,1398,0,935.3333333,0,0,3,2806,0,88,Anomaly,Scan
0,0,0,42.66666667,32,32,2,64,1,32,0,2,Anomaly,Mirai
0,0,0,1403,30,1388,1,30,1,1388,0,120,Anomaly,Mirai
0,0,0,52.5,35,35,1,35,1,35,0,2,Anomaly,Mirai
0,144,0,2172,0,1448,0,0,2,2896,0,144,Anomaly,Mirai
73,0,0,24,20,20,4,80,1,20,0,84,Anomaly,Mirai
276,0,0,40,32,32,3,96,1,32,0,276,Anomaly,Mirai
35,0,0,38.4,32,32,4,128,1,32,0,35,Anomaly,Mirai
0,0,0,2172,1448,1448,1,1448,1,1448,0,131,Anomaly,Mirai
0,110,1,990.6666667,0,982,0,0,3,2946,0,110,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,121,Anomaly,Mirai
0,128,0,2082,0,1388,0,0,2,2776,0,128,Anomaly,Scan
0,144,0,84.5,0,64.5,0,0,2,129,0,144,Anomaly,Mirai
0,0,0,1492,1448,768,1,1448,1,768,0,157,Anomaly,Mirai
3,0,0,36,32,32,7,224,1,32,1,3,Anomaly,Mirai
0,170,0,2172,0,1448,0,0,2,2896,0,170,Anomaly,Scan
0,0,1,390,260,260,1,260,1,260,0,401,Normal,Normal
6,0,0,40,32,32,3,96,1,32,0,17,Anomaly,Mirai
73,0,0,0,0,0,2,0,1,0,0,75,Anomaly,Scan
0,0,0,2145,1430,1430,1,1430,1,1430,0,105,Anomaly,Mirai
0,0,0,2100,1400,1400,1,1400,1,1400,0,114,Anomaly,Mirai
4,0,0,46.66666667,35,35,2,70,1,35,0,8,Anomaly,Mirai
162,0,0,40,32,32,3,96,1,32,0,162,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,94,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,22,Anomaly,Mirai
72,0,0,0,0,0,2,0,1,0,0,80,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,119,Anomaly,Mirai
38,0,0,42.66666667,32,32,2,64,1,32,0,38,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,84,Anomaly,Mirai
0,0,0,10,20,0,1,20,1,0,0,4,Anomaly,Mirai
0,122,0,1403,0,709,0,0,2,1418,0,122,Anomaly,Mirai
75,0,0,1653.6,1352,1430,4,5408,1,1430,0,75,Anomaly,Mirai
76,0,0,38.4,32,32,4,128,1,32,0,76,Anomaly,Mirai
77,0,0,1762.5,1396.666667,1430,3,4190,1,1430,0,77,Anomaly,Mirai
0,116,0,1930.666667,0,1448,0,0,3,4344,0,116,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,72,Anomaly,MITM ARP Spoofing
0,1818,0,0,0,0,0,0,2,0,0,1818,Anomaly,DoS
0,0,0,0,0,0,1,0,1,0,0,118,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,125,Anomaly,Scan
0,0,0,48,32,32,1,32,1,32,0,4,Anomaly,Mirai
125,0,0,966.6666667,1430,20,2,2860,1,20,0,125,Anomaly,Mirai
0,0,0,984,656,656,1,656,1,656,0,117,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,153,Anomaly,Mirai
0,0,0,2097,1334,1430,1,1334,1,1430,0,127,Anomaly,Mirai
139,0,0,1787.5,1430,1430,3,4290,1,1430,0,139,Anomaly,Mirai
0,72,0,0,0,0,0,0,2,0,0,72,Anomaly,Mirai
4,0,0,40,32,32,3,96,1,32,0,4,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,77,Anomaly,Mirai
0,86,0,1403,0,709,0,0,2,1418,0,86,Anomaly,Mirai
74,0,0,1586.4,1268,1430,4,5072,1,1430,0,75,Anomaly,Mirai
0,124,0,0,0,0,0,0,2,0,0,124,Anomaly,Scan
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,128,Anomaly,Mirai
0,78,0,1850.666667,0,1388,0,0,3,4164,0,78,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,77,Anomaly,Scan
0,75,0,2082,0,1388,0,0,2,2776,0,75,Anomaly,Scan
0,0,0,48,32,32,1,32,1,32,0,7,Anomaly,Mirai
2,0,0,33.23076923,32,32,25,800,1,32,4,2,Anomaly,Mirai
0,1505,0,0,0,0,0,0,2,0,0,1505,Anomaly,DoS
0,0,0,48,32,32,1,32,1,32,0,257,Anomaly,Mirai
0,73,0,2082,0,1388,0,0,2,2776,0,73,Anomaly,Mirai
0,72,0,2082,0,1388,0,0,2,2776,0,72,Anomaly,Scan
0,0,0,48,32,32,1,32,1,32,0,4,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,184,Anomaly,Mirai
0,73,0,0,0,0,0,0,3,0,0,73,Anomaly,Mirai
0,114,0,2172,0,1448,0,0,2,2896,0,114,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,77,Anomaly,Mirai
0,72,0,48,0,32,0,0,2,64,0,72,Anomaly,Mirai
4,0,0,37.33333333,32,32,5,160,1,32,2,4,Anomaly,Mirai
73,0,0,0,0,0,2,0,1,0,0,74,Anomaly,Mirai
0,0,1,31,0,31,1,0,1,31,0,0,Anomaly,Scan
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,184,Anomaly,Mirai
5,0,0,38.4,32,32,4,128,1,32,0,5,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,12,Anomaly,Mirai
6,0,0,38.4,32,32,4,128,1,32,0,21,Anomaly,Mirai
123,0,0,1906.666667,1430,1430,2,2860,1,1430,0,123,Anomaly,Mirai
0,0,0,1440,20,1430,1,20,1,1430,0,290,Anomaly,Mirai
140,0,0,1398,709,1388,2,1418,1,1388,0,140,Normal,Normal
0,0,0,48,32,32,1,32,1,32,0,9,Anomaly,Mirai
0,121,0,56,0,36,0,0,2,72,0,121,Anomaly,Mirai
74,0,0,25,20,20,3,60,1,20,0,121,Anomaly,Mirai
0,0,0,1403,30,1388,1,30,1,1388,0,123,Anomaly,Mirai
0,140,0,1403,0,709,0,0,2,1418,0,140,Anomaly,Mirai
6,0,0,34.66666667,32,32,11,352,1,32,1,6,Anomaly,Mirai
0,0,0,1403,30,1388,1,30,1,1388,0,119,Anomaly,Mirai
0,113,0,2172,0,1448,0,0,2,2896,0,113,Anomaly,Mirai
0,0,0,30,20,20,1,20,1,20,0,138,Anomaly,Mirai
0,10925,0,0,0,0,0,0,2,0,0,10925,Anomaly,DoS
0,119,0,0,0,0,0,0,2,0,0,119,Anomaly,Mirai
0,142,1,1128,0,992,0,0,4,3968,0,142,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,278,Anomaly,Mirai
25,0,0,24,18,18,2,36,1,18,0,25,Anomaly,Mirai
2,0,0,42.66666667,32,32,2,64,1,32,0,5,Anomaly,Mirai
0,250,0,1930.666667,0,1448,0,0,3,4344,0,250,Normal,Normal
5,0,0,40,32,32,3,96,1,32,0,5,Anomaly,Mirai
11,0,0,38.4,32,32,4,128,1,32,0,19,Anomaly,Mirai
0,74,0,0,0,0,0,0,2,0,0,74,Anomaly,Mirai
0,3482,0,0,0,0,0,0,2,0,0,3482,Anomaly,DoS
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,233,Anomaly,Mirai
0,76,0,0,0,0,0,0,5,0,0,76,Anomaly,Mirai
142,0,0,552.5,435.3333333,452,3,1306,1,452,0,142,Anomaly,Mirai
0,85,0,1850.666667,0,1388,0,0,3,4164,0,85,Anomaly,Mirai
0,0,0,2172,1448,1448,1,1448,1,1448,0,116,Anomaly,Mirai
0,76,0,44,20,36,1,20,2,72,0,195,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,185,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,23,Anomaly,Mirai
0,0,0,30,20,20,1,20,1,20,0,75,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,172,Anomaly,Mirai
0,73,0,0,0,0,0,0,2,0,0,73,Anomaly,Mirai
0,0,0,168,336,0,1,336,1,0,0,75,Anomaly,Mirai
0,0,0,2082,1388,1388,1,1388,1,1388,0,382,Normal,Normal
0,74,0,2172,0,1448,0,0,2,2896,0,74,Anomaly,MITM ARP Spoofing
0,0,0,2172,1448,1448,1,1448,1,1448,0,112,Anomaly,Mirai
74,0,0,0,0,0,2,0,1,0,0,76,Anomaly,Scan
4,0,0,33.33333333,32,32,23,736,1,32,9,4,Anomaly,Mirai
0,146,0,2082,0,1388,0,0,2,2776,0,146,Anomaly,Scan
0,77,0,48,0,34.66666667,0,0,3,104,0,77,Anomaly,Mirai
132,0,0,1594.666667,962,1430,2,1924,1,1430,0,132,Anomaly,Mirai
0,163,0,2172,0,1448,0,0,2,2896,0,163,Anomaly,Mirai
0,71,0,2082,0,1388,0,0,2,2776,0,71,Anomaly,Mirai
0,385,0,0,0,0,0,0,2,0,0,385,Normal,Normal
0,128,0,2172,0,1448,0,0,2,2896,0,128,Anomaly,Scan
0,12664,0,0,0,0,0,0,2,0,0,12664,Anomaly,DoS
72,0,0,26.66666667,20,20,2,40,1,20,0,73,Anomaly,Mirai
0,0,0,25.5,51,0,1,51,1,0,0,204,Anomaly,Mirai
8,0,0,35.55555556,32,32,8,256,1,32,0,237,Anomaly,Mirai
0,4217,0,0,0,0,0,0,2,0,0,4217,Anomaly,DoS
114,0,0,1147.5,1430,150,3,4290,1,150,0,115,Anomaly,Mirai
0,75,0,48,0,34.66666667,0,0,3,104,0,75,Anomaly,Mirai
0,75,0,2172,0,1448,0,0,2,2896,0,75,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,266,Anomaly,Mirai
10,0,0,42.66666667,32,32,2,64,1,32,0,10,Anomaly,Mirai
0,9313,0,0,0,0,0,0,2,0,0,9313,Anomaly,DoS
72,0,0,26.66666667,20,20,2,40,1,20,0,77,Anomaly,Mirai
0,655,0,0,0,0,0,0,2,0,0,0,Anomaly,DoS
0,0,0,0,0,0,1,0,1,0,0,393,Normal,Normal
218,0,0,42.66666667,32,32,2,64,1,32,0,218,Anomaly,Mirai
0,4071,0,0,0,0,0,0,2,0,0,4071,Anomaly,DoS
74,0,0,0,0,0,2,0,1,0,0,74,Anomaly,MITM ARP Spoofing
0,87,0,0,0,0,0,0,2,0,0,87,Anomaly,Mirai
0,0,0,2100,1400,1400,1,1400,1,1400,0,113,Anomaly,Mirai
0,133,0,2082,0,1388,0,0,2,2776,0,133,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,17,Anomaly,Mirai
262,0,0,42.66666667,32,32,2,64,1,32,1,262,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,0,Anomaly,Mirai
5,0,0,40,32,32,3,96,1,32,0,6,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,121,Anomaly,Mirai
4,0,0,34.90909091,32,32,10,320,1,32,1,4,Anomaly,Mirai
27,0,0,22.5,18,18,3,54,1,18,0,27,Anomaly,Mirai
3,0,0,42.66666667,32,32,2,64,1,32,0,17,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,84,Anomaly,Scan
0,0,0,0,0,0,1,0,1,0,0,132,Anomaly,MITM ARP Spoofing
0,0,0,48,32,32,1,32,1,32,0,8,Anomaly,Mirai
0,173,0,0,0,0,0,0,3,0,0,173,Anomaly,Mirai
10,0,0,36.57142857,32,32,6,192,1,32,0,10,Anomaly,Mirai
0,121,0,50,0,30,0,0,2,60,0,121,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,9,Anomaly,Mirai
5,0,0,42.66666667,32,32,2,64,1,32,0,5,Anomaly,Mirai
16,0,0,40,32,32,3,96,1,32,0,16,Anomaly,Mirai
7,0,0,37.33333333,32,32,5,160,1,32,0,11,Anomaly,Mirai
74,0,0,1850.666667,1388,1388,2,2776,1,1388,0,74,Anomaly,Mirai
74,0,0,1906.666667,1430,1430,2,2860,1,1430,0,125,Anomaly,Mirai
0,0,0,652,436,434,1,436,1,434,0,74,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,125,Anomaly,Mirai
0,0,0,0,0,0,1,0,1,0,0,120,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,4,Anomaly,Mirai
13,0,0,35.55555556,32,32,8,256,1,32,0,13,Anomaly,Mirai
0,5588,0,0,0,0,0,0,2,0,0,5588,Anomaly,DoS
0,8095,0,0,0,0,0,0,2,0,0,8095,Anomaly,DoS
0,0,0,10,20,0,1,20,1,0,0,196,Anomaly,Mirai
0,79,0,0,0,0,0,0,2,0,0,79,Normal,Normal
8,0,0,38.4,32,32,4,128,1,32,0,8,Anomaly,Mirai
0,4432,0,0,0,0,0,0,2,0,0,4432,Anomaly,DoS
72,0,0,0,0,0,2,0,1,0,0,73,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,117,Anomaly,Mirai
0,5882,0,0,0,0,0,0,2,0,0,5882,Anomaly,DoS
0,148,0,0,0,0,0,0,2,0,0,148,Anomaly,Mirai
0,74,0,0,0,0,0,0,2,0,0,74,Anomaly,Mirai
10,0,0,42.66666667,32,32,2,64,1,32,0,27,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,185,Anomaly,Mirai
0,78,0,2172,0,1448,0,0,2,2896,0,78,Anomaly,Mirai
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,76,Anomaly,Mirai
0,39659,0,0,0,0,0,0,2,0,0,39659,Anomaly,DoS
0,162,0,2172,0,1448,0,0,2,2896,0,162,Anomaly,Mirai
4,0,0,42.66666667,32,32,2,64,1,32,0,4,Anomaly,Mirai
0,79,0,48,0,32,0,0,2,64,0,79,Anomaly,Mirai
0,71,0,0,0,0,0,0,2,0,0,71,Anomaly,Mirai
0,117,0,1403,0,709,0,0,2,1418,0,117,Anomaly,Mirai
0,74,0,2021,0,1297,0,0,2,2594,0,74,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,159,Anomaly,Mirai
0,941,0,0,0,0,0,0,2,0,0,0,Anomaly,DoS
0,0,0,2172,1448,1448,1,1448,1,1448,0,117,Anomaly,Mirai
0,0,0,2100,1400,1400,1,1400,1,1400,0,291,Anomaly,Mirai
0,123,0,2082,0,1388,0,0,2,2776,0,123,Anomaly,Scan
71,0,0,24,20,20,4,80,1,20,0,84,Anomaly,Mirai
0,85,0,48,0,34.66666667,0,0,3,104,0,85,Anomaly,Mirai
0,114,0,2082,0,1388,0,0,2,2776,0,114,Anomaly,Scan
0,72,0,2082,0,1388,0,0,2,2776,0,72,Anomaly,Scan
367,0,0,1398,709,1388,2,1418,1,1388,0,367,Normal,Normal
71,0,0,0,0,0,2,0,1,0,0,72,Anomaly,MITM ARP Spoofing
73,0,0,0,0,0,4,0,1,0,0,73,Normal,Normal
293,0,0,1398,709,1388,2,1418,1,1388,0,293,Normal,Normal
0,0,0,2161.5,1441,1441,1,1441,1,1441,0,182,Anomaly,Mirai
70,0,0,1850.666667,1388,1388,2,2776,1,1388,0,70,Anomaly,Mirai
0,0,0,48,32,32,1,32,1,32,0,26,Anomaly,Mirai
0,0,0,2145,1430,1430,1,1430,1,1430,0,119,Anomaly,Mirai
0,0,0,2172,1448,1448,1,1448,1,1448,0,112,Anomaly,Mirai
0,130,0,1403,0,709,0,0,2,1418,0,130,Anomaly,MITM ARP Spoofing
0,123,0,1403,0,709,0,0,2,1418,0,123,Anomaly,Scan
71,0,0,1464.5,999.3333333,1430,3,2998,1,1430,0,71,Anomaly,Mirai
0,3686,0,0,0,0,0,0,2,0,0,3686,Anomaly,DoS
0,111,0,2082,0,1388,0,0,2,2776,0,111,Anomaly,MITM ARP Spoofing
0,71,1,724,0,709,0,0,2,1418,0,71,Anomaly,Scan
5,0,0,34.46153846,32,32,12,384,1,32,2,8,Anomaly,Mirai
73,0,0,0,0,0,2,0,1,0,0,76,Anomaly,MITM ARP Spoofing
0,0,0,48,32,32,1,32,1,32,0,108,Anomaly,Mirai
533,44523,1,538.8571429,905,196.2,2,1810,5,981,533,44523,Anomaly,DoS
